nombre,tfo_media,tfo_varianza,tfo_std,tfo_entropia,tso_contraste,tso_homogeneidad,tso_disimilitud,tso_energia,tso_correlacion,tso_entropia,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,num_keypoints_sift,num_keypoints_orb,num_circulos_hough
Manzana_01_Matlab.png,9.743131637573242,602.0692871736384,24.537100219333954,-65011188.0,7.432681146138808,0.9168267791334302,0.40464753380579993,0.8552357620608492,0.9938324645921338,1.3279374145577394,0.04752188089288575,0.0017583206327585709,0.000919382415038385,0.000889313162488292,8.041292735537625e-07,3.726406596136643e-05,-3.5801453935286282e-09,849,500,7
Manzana_02_Matlab.png,11.206218083699545,639.1842470460875,25.282093407114996,-74116032.0,7.404272699511401,0.903745435903245,0.4533413070032574,0.8286354139451815,0.9942110593013717,1.5043706420532357,5.083323722396544,1.4579739130613556,213.09308834714793,135.43333978309573,16898.221201887332,149.4638141963645,-15614.225377750805,830,500,13
Manzana_03_Matlab.png,12.286797841389975,592.7537633352499,24.34653493487831,-78320512.0,8.028645409201953,0.868469561985794,0.6084397903094462,0.7755750756346963,0.9932309583025191,1.9760127404370884,0.11516555901963685,0.003449926604756455,0.0007827013591847839,0.00013487444066473685,-3.3813222249115207e-08,-4.556361749605707e-06,2.787537699726337e-08,1349,500,27
Manzana_04_Matlab.png,11.650375366210938,657.0436078506367,25.632861873981934,-76790216.0,7.156477832763114,0.8928314917633629,0.5058205543336591,0.8173780991827607,0.9945582507630962,1.6523443188010272,0.1716113341888881,0.01842495051772793,0.0076520198914797185,0.0014542403881332034,-1.6690224424627963e-07,8.063928158564946e-07,4.8482517164374125e-06,985,500,17
Manzana_05_Matlab.png,10.879289627075195,669.3751162261213,25.872284712141703,-72595200.0,7.974708017676769,0.9029918604226115,0.49542425260671236,0.8368900015162762,0.9940479580872383,1.512819040073414,0.0528788871051153,0.0019324508635277012,6.0787354735970876e-05,4.678521735607443e-05,2.475417003291226e-09,1.119660528176339e-06,3.1194296777315995e-10,806,500,15
Manzana_06_Matlab.png,11.938483556111654,716.9407570225017,26.77574942037107,-79504856.0,10.911525346091208,0.8801417305586172,0.6435489617263845,0.8186782042604659,0.9923941875202685,1.7263975908394127,0.09965734053013518,0.0014773854206793803,0.0006557681724212172,6.741936273183277e-05,-1.3227868315683601e-08,-2.352815273577278e-06,5.097158074015237e-09,1245,500,27
Manzana_07_Matlab.png,11.551810582478842,696.733427622365,26.395708507679142,-76993832.0,10.971854380498536,0.8911819702360526,0.589212436868687,0.825815850399285,0.9921324341565859,1.6411390203296812,0.13019255705244698,0.0034174120478121066,3.9694119473705184e-05,2.4482971190542264e-06,2.3995375541934752e-11,1.333360847668066e-07,-2.5985141410211737e-12,1161,500,22
Manzana_08_Matlab.png,15.63691266377767,1021.9298696787623,31.967637849530927,-107384808.0,13.227266363229065,0.8774069803678856,0.6629678844900618,0.7944356414935207,0.9935330980701431,1.8790605209830733,0.13248753514617037,0.007584688491333561,0.0005712532525046803,0.0003907265045264224,1.5485458709115255e-07,3.1496601825118e-05,-1.0047862597517422e-07,1171,500,29
Manzana_09_Matlab.png,5.7641557057698565,341.7667645284091,18.486934968469196,-37522692.0,4.786813446969699,0.9440872118542377,0.29262127321603126,0.9044643713880228,0.9930031328143248,0.9221571030493417,0.36977808160883435,0.09430634645455559,0.0014103269163722588,0.0003207125082575013,1.7337816509025472e-07,8.656093271982749e-05,1.283081760744613e-07,501,500,14
Manzana_10_Matlab.png,8.23521614074707,484.778598614322,22.01768831222574,-53946332.0,8.019649621212121,0.9198307037915514,0.4480617668621701,0.8665627718061251,0.9917354914902836,1.249828265455699,0.19272850779578846,0.008876347488398113,0.004167810778411747,0.002239437056599456,6.513269234408014e-06,0.00020520782877801944,2.09423201
